,ticker,close_price_1_days_ago,close_price_2_days_ago,close_price_3_days_ago
0,KRW-BTC,35181000.0,33335000.0,32511000.0
1,KRW-ETH,2303000.0,2230000.0,2209000.0
2,KRW-NEO,15730.0,14460.0,13990.0
3,KRW-MTL,1645.0,1640.0,1510.0
4,KRW-XRP,500.0,485.0,481.0
5,KRW-ETC,25890.0,24990.0,24750.0
6,KRW-OMG,1885.0,1830.0,1810.0
7,KRW-SNT,36.0,34.8,34.5
8,KRW-WAVES,3045.0,2975.0,2930.0
9,KRW-XEM,51.5,50.3,49.6
10,KRW-QTUM,3945.0,3755.0,3680.0
11,KRW-LSK,1465.0,1445.0,1380.0
12,KRW-STEEM,276.0,273.0,267.0
13,KRW-XLM,114.0,113.0,113.0
14,KRW-ARDR,123.0,121.0,118.0
15,KRW-ARK,458.0,453.0,438.0
16,KRW-STORJ,480.0,465.0,458.0
17,KRW-GRS,589.0,596.0,608.0
18,KRW-REP,11680.0,11400.0,11240.0
19,KRW-ADA,447.0,434.0,434.0
20,KRW-SBD,3890.0,3900.0,3720.0
21,KRW-POWR,244.0,240.0,233.0
22,KRW-BTG,20940.0,20560.0,20160.0
23,KRW-ICX,283.0,275.0,271.0
24,KRW-EOS,1475.0,1440.0,1395.0
25,KRW-TRX,88.3,86.9,87.3
26,KRW-SC,5.58,5.34,5.26
27,KRW-ONT,299.0,282.0,274.0
28,KRW-ZIL,37.7,36.4,35.9
29,KRW-POLYX,221.0,219.0,212.0
30,KRW-ZRX,308.0,297.0,291.0
31,KRW-LOOM,97.3,97.8,96.9
32,KRW-BCH,174050.0,167700.0,165050.0
33,KRW-BAT,329.0,313.0,308.0
34,KRW-IOST,13.8,13.3,13.2
35,KRW-RFR,8.87,8.93,8.93
36,KRW-CVC,142.0,140.0,135.0
37,KRW-IQ,8.96,8.88,9.07
38,KRW-IOTA,292.0,283.0,274.0
39,KRW-HIFI,583.0,582.0,557.0
40,KRW-ONG,392.0,389.0,373.0
41,KRW-GAS,4870.0,4760.0,4140.0
42,KRW-UPP,98.4,97.1,95.0
43,KRW-ELF,422.0,422.0,420.0
44,KRW-KNC,950.0,916.0,904.0
45,KRW-BSV,47780.0,46960.0,46440.0
46,KRW-THETA,1400.0,1360.0,1350.0
47,KRW-QKC,15.5,15.5,14.1
48,KRW-BTT,0.001,0.0009,0.0009
49,KRW-MOC,139.0,137.0,134.0
50,KRW-ENJ,537.0,521.0,518.0
51,KRW-TFUEL,75.2,74.9,73.1
52,KRW-MANA,802.0,764.0,747.0
53,KRW-ANKR,48.0,47.1,46.5
54,KRW-AERGO,173.0,174.0,160.0
55,KRW-ATOM,17260.0,17100.0,16620.0
56,KRW-TT,6.22,6.15,6.0
57,KRW-CRE,6.47,6.35,6.26
58,KRW-MBL,4.42,4.36,4.27
59,KRW-WAXP,92.3,90.7,89.7
60,KRW-HBAR,83.8,81.4,80.6
61,KRW-MED,22.9,22.6,22.4
62,KRW-MLK,359.0,354.0,344.0
63,KRW-STPT,66.2,66.7,62.6
64,KRW-ORBS,43.4,43.2,42.5
65,KRW-VET,31.2,29.8,29.3
66,KRW-CHZ,160.0,156.0,152.0
67,KRW-STMX,8.11,7.9,7.76
68,KRW-DKA,49.7,48.8,48.3
69,KRW-HIVE,552.0,547.0,525.0
70,KRW-KAVA,1680.0,1690.0,1740.0
71,KRW-AHT,12.7,12.7,12.3
72,KRW-LINK,9415.0,8880.0,8770.0
73,KRW-XTZ,1600.0,1585.0,1530.0
74,KRW-BORA,241.0,235.0,229.0
75,KRW-JST,35.7,35.3,35.1
76,KRW-CRO,95.9,93.3,92.4
77,KRW-TON,2485.0,2470.0,2345.0
78,KRW-SXP,371.0,356.0,352.0
79,KRW-HUNT,535.0,539.0,503.0
80,KRW-PLA,286.0,282.0,274.0
81,KRW-DOT,8540.0,8120.0,7860.0
82,KRW-SRM,569.0,562.0,544.0
83,KRW-MVL,5.45,5.38,5.32
84,KRW-STRAX,731.0,733.0,686.0
85,KRW-AQT,1725.0,1730.0,1645.0
86,KRW-GLM,336.0,337.0,308.0
87,KRW-SSX,26.0,25.7,25.2
88,KRW-META,42.5,42.1,41.6
89,KRW-FCT2,99.5,94.7,93.7
90,KRW-CBK,976.0,967.0,926.0
91,KRW-SAND,826.0,797.0,785.0
92,KRW-HUM,139.0,138.0,136.0
93,KRW-DOGE,98.8,96.6,93.2
94,KRW-STRK,18290.0,18200.0,17860.0
95,KRW-PUNDIX,622.0,614.0,596.0
96,KRW-FLOW,1380.0,1325.0,1290.0
97,KRW-DAWN,982.0,971.0,962.0
98,KRW-AXS,11260.0,10690.0,10470.0
99,KRW-STX,1395.0,1215.0,1180.0
100,KRW-XEC,0.0413,0.0403,0.0396
101,KRW-SOL,27080.0,26220.0,25760.0
102,KRW-MATIC,1570.0,1530.0,1485.0
103,KRW-NU,246.0,245.0,242.0
104,KRW-AAVE,103000.0,99890.0,99000.0
105,KRW-1INCH,673.0,659.0,654.0
106,KRW-ALGO,289.0,279.0,273.0
107,KRW-NEAR,2730.0,2620.0,2580.0
108,KRW-AVAX,22160.0,21100.0,20840.0
109,KRW-T,57.4,54.8,53.9
110,KRW-CELO,843.0,816.0,793.0
111,KRW-GMT,513.0,496.0,489.0
112,KRW-APT,17230.0,16440.0,16400.0
113,KRW-SHIB,0.0144,0.014,0.014
114,KRW-MASK,5930.0,5235.0,5110.0
